Date,Calls_Offered
2021-01-03,5292
2021-01-10,17792
2021-01-17,14886
2021-01-24,14984
2021-01-31,14512
2021-02-07,3025
2021-02-14,187
2021-02-21,214
2021-02-28,188
2021-03-07,2816
2021-03-14,1581
2021-03-21,15710
2021-03-28,16082
2021-04-04,16500
2021-04-11,14939
2021-04-18,14394
2021-04-25,13962
2021-05-02,13454
2021-05-09,16340
2021-05-16,12736
2021-05-23,13602
2021-05-30,11430
2021-06-06,13566
2021-06-13,13213
2021-06-20,12873
2021-06-27,13353
2021-07-04,13440
2021-07-11,13616
2021-07-18,12231
2021-07-25,12348
2021-08-01,12441
2021-08-08,16462
2021-08-15,11649
2021-08-22,13998
2021-08-29,13327
2021-09-05,23775
2021-09-12,17591
2021-09-19,16541
2021-09-26,15276
2021-10-03,17070
2021-10-10,14360
2021-10-17,13759
2021-10-24,14033
2021-10-31,16084
2021-11-07,16419
2021-11-14,16182
2021-11-21,14680
2021-11-28,15558
2021-12-05,18571
2021-12-12,16653
2021-12-19,14982
2021-12-26,12285
2022-01-02,10937
