Date,TTO Count
2021-01-03,125
2021-01-10,170
2021-01-17,298
2021-01-24,368
2021-01-31,373
2021-02-07,233
2021-02-14,132
2021-02-21,353
2021-02-28,372
2021-03-07,269
2021-03-14,162
2021-03-21,397
2021-03-28,407
2021-04-04,546
2021-04-11,661
2021-04-18,755
2021-04-25,785
2021-05-02,743
2021-05-09,678
2021-05-16,620
2021-05-23,655
2021-05-30,589
2021-06-06,931
2021-06-13,705
2021-06-20,764
2021-06-27,647
2021-07-04,707
2021-07-11,420
2021-07-18,446
2021-07-25,369
2021-08-01,540
2021-08-08,850
2021-08-15,507
2021-08-22,584
2021-08-29,742
2021-09-05,1064
2021-09-12,741
2021-09-19,741
2021-09-26,756
2021-10-03,614
2021-10-10,442
2021-10-17,396
2021-10-24,431
2021-10-31,438
2021-11-07,847
2021-11-14,725
2021-11-21,800
2021-11-28,752
2021-12-05,913
2021-12-12,1112
2021-12-19,1126
2021-12-26,924
2022-01-02,655
